@RELATION Sasmos
@ATTRIBUTE class0 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class1 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class2 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class3 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class4 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class5 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class6 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class7 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class8 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class9 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class10 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}

@DATA
guroKotopoulo,kotompeikon,froutosalata,pagwto,?,?,?,?,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,patates,turokroketes,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,kaisara,aggourontomata,patates,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,kaisara,patates,giaourtiMeli,?,?
mpiftekiLaxanikwn,xwriatikh,pswmiPolusporo,anapsuktiko,aggourontomata,turokroketes,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,aggourontomata,patates,milkshake,?,?
saganaki,pswmiMauro,xumos,kaisara,milkshake,?,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,froutosalata,patates,?,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,anapsuktiko,froutosalata,patates,?,?,?,?
kalamari,xwriatikh,marouli,mpura,patates,?,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,patates,giaourtiMeli,?,?,?,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,pswmiMauro,pswmiPolusporo,mpura,anapsuktiko,patates,giaourtiMeli,?
guroXoirino,kotompeikon,xwriatikh,pswmiLeuko,anapsuktiko,nero,aggourontomata,patates,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,pswmiPolusporo,mpura,anapsuktiko,kaisara,froutosalata,patates,giaourtiMeli
kalamari,xwriatikh,marouli,mpura,anapsuktiko,nero,patates,pagwto,?,?,?
kalamari,xwriatikh,marouli,mpura,patates,turokroketes,giaourtiMeli,?,?,?,?
kalamari,xwriatikh,marouli,mpura,nero,aggourontomata,froutosalata,patates,?,?,?
guroKotopoulo,saganaki,pswmiLeuko,nero,xumos,patates,giaourtiMeli,?,?,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,froutosalata,patates,milkshake,?,?,?,?
saganaki,pswmiMauro,xumos,kaisara,?,?,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,froutosalata,patates,giaourtiMeli,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,pswmiLeuko,anapsuktiko,froutosalata,patates,turokroketes,?,?,?
guroXoirino,kotompeikon,xwriatikh,pswmiLeuko,anapsuktiko,nero,patates,?,?,?,?
mpiftekiLaxanikwn,marouli,pswmiPolusporo,anapsuktiko,turokroketes,giaourtiMeli,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,patates,turokroketes,pagwto,giaourtiMeli,?,?,?
guroXoirino,kotompeikon,xwriatikh,pswmiLeuko,anapsuktiko,nero,froutosalata,patates,turokroketes,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,nero,froutosalata,turokroketes,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,patates,milkshake,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,patates,turokroketes,giaourtiMeli,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,pswmiMauro,patates,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,pswmiPolusporo,mpura,anapsuktiko,patates,pagwto,giaourtiMeli,?
kalamari,xwriatikh,marouli,mpura,patates,turokroketes,pagwto,?,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,turokroketes,milkshake,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,pswmiLeuko,anapsuktiko,aggourontomata,patates,turokroketes,pagwto,?,?
kalamari,xwriatikh,saganaki,marouli,mpura,aggourontomata,froutosalata,patates,?,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,kaisara,patates,milkshake,?,?,?,?
kalamari,xwriatikh,marouli,mpura,patates,milkshake,?,?,?,?,?
saganaki,pswmiMauro,xumos,kaisara,pagwto,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,marouli,pswmiMauro,anapsuktiko,patates,milkshake,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,kaisara,patates,turokroketes,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,aggourontomata,froutosalata,patates,?,?,?,?
pswmiMauro,xumos,kaisara,froutosalata,pagwto,giaourtiMeli,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,kaisara,patates,?,?,?
mpiftekiLaxanikwn,pswmiMauro,pswmiPolusporo,anapsuktiko,nero,turokroketes,pagwto,?,?,?,?
saganaki,xumos,froutosalata,?,?,?,?,?,?,?,?
kalamari,xwriatikh,saganaki,marouli,mpura,patates,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,patates,turokroketes,?,?,?,?,?
nero,froutosalata,patates,?,?,?,?,?,?,?,?
pswmiMauro,xumos,kaisara,giaourtiMeli,?,?,?,?,?,?,?
xwriatikh,kotompoukies,milkshake,?,?,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,kaisara,froutosalata,patates,?,?
mpiftekiLaxanikwn,marouli,pswmiPolusporo,anapsuktiko,turokroketes,milkshake,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,nero,patates,?,?,?,?,?
mpiftekiLaxanikwn,marouli,pswmiMauro,pswmiPolusporo,anapsuktiko,nero,turokroketes,giaourtiMeli,?,?,?
xwriatikh,pswmiMauro,nero,xumos,kaisara,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,nero,patates,?,?,?
mpiftekiLaxanikwn,marouli,pswmiPolusporo,anapsuktiko,patates,turokroketes,milkshake,?,?,?,?
guroKotopoulo,xwriatikh,marouli,nero,patates,giaourtiMeli,?,?,?,?,?
mpiftekiLaxanikwn,xwriatikh,aggourontomata,?,?,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,patates,milkshake,?,?,?
kalamari,xwriatikh,marouli,mpura,froutosalata,patates,turokroketes,pagwto,?,?,?
guroXoirino,kotompeikon,xwriatikh,pswmiLeuko,anapsuktiko,aggourontomata,patates,turokroketes,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,aggourontomata,froutosalata,patates,milkshake,?
kalamari,xwriatikh,saganaki,marouli,mpura,aggourontomata,patates,milkshake,?,?,?
kalamari,xwriatikh,marouli,mpura,froutosalata,patates,?,?,?,?,?
mpiftekiLaxanikwn,marouli,pswmiPolusporo,anapsuktiko,turokroketes,giaourtiMeli,milkshake,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,marouli,pswmiLeuko,anapsuktiko,patates,pagwto,?,?,?
mpiftekiLaxanikwn,marouli,froutosalata,turokroketes,milkshake,?,?,?,?,?,?
mpiftekiLaxanikwn,saganaki,anapsuktiko,turokroketes,?,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,nero,kaisara,patates,turokroketes,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,froutosalata,patates,pagwto,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,pswmiPolusporo,mpura,anapsuktiko,nero,froutosalata,patates,turokroketes
guroXoirino,marouli,kaisara,pagwto,?,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,pswmiMauro,anapsuktiko,nero,patates,turokroketes,milkshake,?,?
guroKotopoulo,saganaki,pswmiLeuko,xumos,patates,turokroketes,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,froutosalata,patates,pagwto,?,?,?,?
xwriatikh,pswmiMauro,nero,xumos,kaisara,giaourtiMeli,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,nero,patates,turokroketes,pagwto,?
guroXoirino,kotompeikon,xwriatikh,pswmiLeuko,anapsuktiko,kaisara,patates,pagwto,?,?,?
kalamari,xwriatikh,marouli,mpura,patates,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,nero,patates,?,?,?
marouli,nero,kaisara,kotompoukies,?,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,giaourtiMeli,milkshake,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,patates,milkshake,?,?,?
guroXoirino,kotompeikon,xwriatikh,pswmiLeuko,anapsuktiko,patates,pagwto,giaourtiMeli,milkshake,?,?
kalamari,xwriatikh,marouli,mpura,patates,?,?,?,?,?,?
xwriatikh,pswmiMauro,nero,xumos,kaisara,giaourtiMeli,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,turokroketes,milkshake,?
guroKotopoulo,xwriatikh,marouli,kaisara,patates,?,?,?,?,?,?
kalamari,nero,turokroketes,giaourtiMeli,?,?,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,pswmiPolusporo,mpura,anapsuktiko,kaisara,aggourontomata,patates,pagwto
mpiftekiLaxanikwn,xwriatikh,pswmiPolusporo,anapsuktiko,froutosalata,turokroketes,giaourtiMeli,?,?,?,?
guroKotopoulo,saganaki,marouli,pswmiLeuko,xumos,aggourontomata,froutosalata,patates,?,?,?
kalamari,xwriatikh,marouli,mpura,patates,milkshake,?,?,?,?,?
mpiftekiLaxanikwn,saganaki,pswmiPolusporo,anapsuktiko,turokroketes,?,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,patates,turokroketes,milkshake,?,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,turokroketes,pagwto,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,patates,pagwto,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,kaisara,patates,turokroketes,milkshake,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,froutosalata,turokroketes,?,?,?,?,?,?
guroKotopoulo,saganaki,pswmiLeuko,nero,xumos,patates,giaourtiMeli,?,?,?,?
marouli,aggourontomata,kotompoukies,turokroketes,?,?,?,?,?,?,?
mpiftekiLaxanikwn,xwriatikh,pswmiPolusporo,anapsuktiko,patates,turokroketes,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,patates,turokroketes,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,kaisara,patates,?,?,?
guroXoirino,marouli,?,?,?,?,?,?,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,nero,aggourontomata,patates,turokroketes,?,?,?,?
guroKotopoulo,saganaki,pswmiLeuko,xumos,aggourontomata,patates,giaourtiMeli,?,?,?,?
mpiftekiLaxanikwn,saganaki,pswmiPolusporo,anapsuktiko,turokroketes,?,?,?,?,?,?
mpiftekiLaxanikwn,xwriatikh,pswmiPolusporo,anapsuktiko,patates,turokroketes,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,patates,pagwto,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,turokroketes,milkshake,?,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,aggourontomata,patates,giaourtiMeli,?,?,?,?
mpiftekiLaxanikwn,xwriatikh,pswmiPolusporo,anapsuktiko,turokroketes,milkshake,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,pswmiMauro,anapsuktiko,patates,pagwto,?,?,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,pswmiMauro,mpura,anapsuktiko,aggourontomata,froutosalata,patates,?
guroXoirino,kotompeikon,xwriatikh,saganaki,marouli,pswmiLeuko,anapsuktiko,patates,pagwto,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,kaisara,patates,pagwto,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,marouli,pswmiLeuko,anapsuktiko,aggourontomata,patates,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,marouli,pswmiLeuko,anapsuktiko,nero,aggourontomata,patates,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,aggourontomata,turokroketes,pagwto,giaourtiMeli,?,?,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,pswmiMauro,mpura,anapsuktiko,nero,kaisara,patates,?
pswmiMauro,xumos,kaisara,aggourontomata,patates,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,marouli,pswmiLeuko,anapsuktiko,patates,turokroketes,?,?,?
guroKotopoulo,xwriatikh,saganaki,pswmiLeuko,xumos,patates,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,kaisara,patates,pagwto,giaourtiMeli,?,?,?
guroKotopoulo,saganaki,pswmiLeuko,xumos,froutosalata,patates,giaourtiMeli,?,?,?,?
kalamari,xwriatikh,marouli,mpura,nero,patates,pagwto,?,?,?,?
kalamari,xwriatikh,marouli,mpura,patates,turokroketes,milkshake,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,kaisara,patates,?,?,?
aggourontomata,patates,milkshake,?,?,?,?,?,?,?,?
mpiftekiLaxanikwn,saganaki,mpura,aggourontomata,giaourtiMeli,?,?,?,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,turokroketes,pagwto,?,?,?,?,?,?
mpiftekiLaxanikwn,saganaki,pswmiPolusporo,anapsuktiko,turokroketes,?,?,?,?,?,?
mpiftekiLaxanikwn,marouli,pswmiPolusporo,anapsuktiko,froutosalata,turokroketes,?,?,?,?,?
guroXoirino,marouli,nero,kaisara,?,?,?,?,?,?,?
marouli,kaisara,giaourtiMeli,?,?,?,?,?,?,?,?
xwriatikh,marouli,?,?,?,?,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,patates,giaourtiMeli,?,?,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,turokroketes,giaourtiMeli,?,?,?,?,?,?
saganaki,pswmiMauro,nero,xumos,kaisara,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,nero,patates,turokroketes,pagwto,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,nero,patates,giaourtiMeli,milkshake,?,?,?
kalamari,xwriatikh,marouli,mpura,patates,pagwto,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,patates,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,marouli,pswmiLeuko,anapsuktiko,froutosalata,patates,?,?
guroKotopoulo,saganaki,pswmiLeuko,xumos,froutosalata,patates,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,aggourontomata,froutosalata,patates,turokroketes,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,turokroketes,?,?
kalamari,xwriatikh,saganaki,marouli,mpura,patates,giaourtiMeli,?,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,patates,turokroketes,giaourtiMeli,?,?,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,turokroketes,giaourtiMeli,?,?,?,?,?,?
saganaki,marouli,kotompoukies,turokroketes,?,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,kaisara,froutosalata,patates,giaourtiMeli,?
saganaki,marouli,pswmiMauro,nero,xumos,kaisara,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,froutosalata,patates,?,?,?,?,?
guroKotopoulo,saganaki,marouli,pswmiLeuko,xumos,patates,giaourtiMeli,?,?,?,?
guroKotopoulo,saganaki,marouli,pswmiLeuko,xumos,patates,?,?,?,?,?
marouli,kotompoukies,giaourtiMeli,?,?,?,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,aggourontomata,patates,turokroketes,?,?,?,?
guroKotopoulo,saganaki,marouli,pswmiLeuko,xumos,aggourontomata,patates,giaourtiMeli,milkshake,?,?
kalamari,xwriatikh,marouli,mpura,patates,turokroketes,giaourtiMeli,?,?,?,?
marouli,kaisara,patates,?,?,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,nero,kaisara,patates,?,?
kalamari,xwriatikh,saganaki,marouli,mpura,nero,froutosalata,patates,?,?,?
guroXoirino,kotompeikon,xwriatikh,marouli,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,?,?
guroXoirino,kotompeikon,xwriatikh,marouli,pswmiMauro,anapsuktiko,aggourontomata,patates,?,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,pswmiMauro,mpura,anapsuktiko,nero,patates,milkshake,?
guroXoirino,kotompeikon,xwriatikh,marouli,pswmiLeuko,anapsuktiko,patates,?,?,?,?
xwriatikh,kotompoukies,turokroketes,?,?,?,?,?,?,?,?
mpiftekiLaxanikwn,marouli,pswmiPolusporo,anapsuktiko,turokroketes,milkshake,?,?,?,?,?
xwriatikh,marouli,pswmiMauro,xumos,kaisara,giaourtiMeli,?,?,?,?,?
mpiftekiLaxanikwn,xwriatikh,pswmiPolusporo,anapsuktiko,patates,turokroketes,?,?,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,patates,turokroketes,?,?,?,?,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,patates,?,?,?,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,nero,aggourontomata,turokroketes,?,?,?,?,?
xwriatikh,aggourontomata,kotompoukies,?,?,?,?,?,?,?,?
pswmiMauro,xumos,kaisara,froutosalata,?,?,?,?,?,?,?
mpiftekiLaxanikwn,marouli,pswmiPolusporo,anapsuktiko,nero,turokroketes,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,marouli,pswmiLeuko,anapsuktiko,patates,pagwto,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,pswmiPolusporo,mpura,anapsuktiko,kaisara,patates,pagwto,?
xumos,froutosalata,?,?,?,?,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,patates,turokroketes,?,?,?,?,?,?
marouli,froutosalata,turokroketes,pagwto,?,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,kaisara,patates,pagwto,?,?
saganaki,xumos,patates,?,?,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,marouli,pswmiLeuko,anapsuktiko,patates,milkshake,?,?,?
xwriatikh,marouli,nero,?,?,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,pswmiMauro,anapsuktiko,patates,turokroketes,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,?,?,?
mpiftekiLaxanikwn,anapsuktiko,nero,patates,turokroketes,?,?,?,?,?,?
pswmiMauro,xumos,kaisara,aggourontomata,froutosalata,milkshake,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,froutosalata,patates,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,patates,pagwto,giaourtiMeli,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,patates,turokroketes,?,?,?
guroKotopoulo,xwriatikh,saganaki,pswmiLeuko,xumos,froutosalata,patates,milkshake,?,?,?
guroKotopoulo,saganaki,marouli,pswmiLeuko,nero,xumos,patates,?,?,?,?
kalamari,aggourontomata,milkshake,?,?,?,?,?,?,?,?
kaisara,patates,?,?,?,?,?,?,?,?,?
kaisara,froutosalata,giaourtiMeli,?,?,?,?,?,?,?,?
mpiftekiLaxanikwn,mpura,nero,?,?,?,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,kaisara,patates,pagwto,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,aggourontomata,patates,milkshake,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,marouli,pswmiLeuko,anapsuktiko,patates,?,?,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,pswmiMauro,patates,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,aggourontomata,froutosalata,patates,milkshake,?,?,?
guroKotopoulo,saganaki,pswmiLeuko,xumos,aggourontomata,froutosalata,patates,milkshake,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,?,?,?
kalamari,xwriatikh,marouli,mpura,patates,milkshake,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,aggourontomata,patates,?,?,?,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,turokroketes,milkshake,?,?,?,?,?,?
xwriatikh,pswmiMauro,xumos,kaisara,milkshake,?,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,aggourontomata,patates,?,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,patates,giaourtiMeli,?,?,?
guroKotopoulo,xwriatikh,marouli,nero,patates,pagwto,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,nero,patates,?,?,?,?,?
saganaki,pswmiMauro,?,?,?,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,nero,kaisara,froutosalata,patates,?
kalamari,xwriatikh,marouli,mpura,aggourontomata,patates,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,aggourontomata,froutosalata,patates,?,?,?,?
kalamari,xwriatikh,marouli,mpura,froutosalata,patates,turokroketes,?,?,?,?
xwriatikh,pswmiMauro,xumos,kaisara,froutosalata,patates,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,marouli,pswmiLeuko,anapsuktiko,kaisara,patates,?,?,?
guroKotopoulo,kotompeikon,froutosalata,?,?,?,?,?,?,?,?
xwriatikh,kaisara,aggourontomata,pagwto,?,?,?,?,?,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,pswmiMauro,pswmiPolusporo,mpura,anapsuktiko,kaisara,patates,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,patates,turokroketes,milkshake,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,pswmiPolusporo,mpura,anapsuktiko,nero,patates,?,?
guroKotopoulo,saganaki,pswmiLeuko,xumos,aggourontomata,patates,milkshake,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,marouli,pswmiLeuko,anapsuktiko,kaisara,patates,?,?
mpiftekiLaxanikwn,saganaki,pswmiMauro,pswmiPolusporo,anapsuktiko,aggourontomata,turokroketes,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,marouli,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,?
kalamari,xwriatikh,marouli,mpura,anapsuktiko,froutosalata,patates,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,nero,patates,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,kaisara,patates,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,kaisara,patates,turokroketes,?,?
kalamari,xwriatikh,marouli,mpura,aggourontomata,froutosalata,patates,giaourtiMeli,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,patates,turokroketes,pagwto,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,patates,turokroketes,?,?,?
mpiftekiLaxanikwn,xwriatikh,pswmiPolusporo,anapsuktiko,aggourontomata,patates,turokroketes,?,?,?,?
